Date,ipca_am,selic_meta_am,selic_real_am,selic_std,ipca_std,selic_real_std
2016-01-31,0.0127,0.011163421416801933,-0.0015173087619215764,1.18,2.92,-1.76
2016-02-29,0.009000000000000001,0.011163421416801933,0.0021441242981190545,1.18,1.74,-0.71
2016-03-31,0.0043,0.011163421416801933,0.006834035066018096,1.18,0.24,0.63
2016-04-30,0.0060999999999999995,0.011163421416801933,0.005032721813738039,1.18,0.82,0.11
2016-05-31,0.0078000000000000005,0.011163421416801933,0.0033373897765449634,1.18,1.36,-0.37
2016-06-30,0.0034999999999999996,0.011163421416801933,0.0076366929913322945,1.18,-0.01,0.86
2016-07-31,0.0052,0.011163421416801933,0.00593257204218256,1.18,0.53,0.37
2016-08-31,0.0044,0.011163421416801933,0.006733792728795374,1.18,0.28,0.6
2016-09-30,0.0008,0.011163421416801933,0.010355137306956363,1.18,-0.87,1.64
2016-10-31,0.0026,0.011091975171655425,0.008469953293093413,1.15,-0.3,1.1
2016-11-30,0.0018,0.010978851950173452,0.009162359702708622,1.11,-0.55,1.3
2016-12-31,0.003,0.010793911082132235,0.007770599284279589,1.04,-0.17,0.9
2017-01-31,0.0038,0.010434513195709115,0.006609397485265012,0.89,0.09,0.57
2017-02-28,0.0033,0.010116744431398619,0.006794323164954097,0.77,-0.07,0.62
2017-03-31,0.0025,0.009676378033213417,0.007158481828641872,0.59,-0.33,0.72
2017-04-30,0.0014000000000000002,0.009224786650534033,0.007813847264363849,0.42,-0.68,0.91
2017-05-31,0.0031,0.008923725728747778,0.005805727972034269,0.3,-0.14,0.34
2017-06-30,-0.0023,0.008164846051901042,0.010488970684475296,-0.0,-1.86,1.68
2017-07-31,0.0024,0.008041424154364879,0.005627917153197215,-0.05,-0.36,0.28
2017-08-31,0.0019,0.007399630287176828,0.005489200805646188,-0.31,-0.52,0.24
2017-09-30,0.0016,0.006808021617023438,0.005199702093673597,-0.54,-0.62,0.16
2017-10-31,0.0042,0.006515118846933927,0.0023054360156680165,-0.66,0.21,-0.67
2017-11-30,0.0028000000000000004,0.006044919024291717,0.0032358586201552964,-0.84,-0.23,-0.4
2017-12-31,0.0044,0.005729778994544585,0.0013239535987101814,-0.97,0.28,-0.95
2018-01-31,0.0029,0.005654145387405274,0.002746181461168007,-1.0,-0.2,-0.54
2018-02-28,0.0032,0.005507134189561391,0.0022997749098496723,-1.06,-0.11,-0.67
2018-03-31,0.0009,0.005394763947237404,0.004490722297169958,-1.1,-0.84,-0.04
2018-04-30,0.0022,0.00526169427684775,0.0030549733355096365,-1.15,-0.43,-0.45
2018-05-31,0.004,0.00526169427684775,0.0012566676064220683,-1.15,0.15,-0.97
2018-06-30,0.0126,0.00526169427684775,-0.007246993603745033,-1.15,2.89,-3.4
2018-07-31,0.0033,0.00526169427684775,0.001955241978319311,-1.15,-0.07,-0.77
2018-08-31,-0.0009,0.00526169427684775,0.006167244797165239,-1.15,-1.41,0.44
2018-09-30,0.0048,0.00526169427684775,0.00045948873093926146,-1.15,0.4,-1.2
2018-10-31,0.0045000000000000005,0.00526169427684775,0.000758282007812694,-1.15,0.31,-1.11
2018-11-30,-0.0021,0.00526169427684775,0.007377186368221045,-1.15,-1.8,0.79
2018-12-31,0.0015,0.00526169427684775,0.0037560601865678223,-1.15,-0.65,-0.25
